generic,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_iu,max_dose_dd_iu,route,route_label,route_PO,route_IM,route_IV,generic_label,min_dose_dw_mg_minmax,max_dose_dw_mg_minmax,min_dose_dd_mg_minmax,max_dose_dd_mg_minmax,min_dose_dw_iu_minmax,max_dose_dw_iu_minmax,min_dose_dd_iu_minmax,max_dose_dd_iu_minmax,limit_mg_minmax,limit_iu_minmax,min_age_d_zscore,max_age_d_zscore,min_age_m_zscore,max_age_m_zscore,min_age_y_zscore,max_age_y_zscore,min_weight_zscore,max_weight_zscore
Amphotericin B,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,3,0.0007407407407407407,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Ampicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,12000.0,0.0,0.0,IM,1,0,1,0,4,0.0,0.0,0.14814814814814814,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Ampicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,12000.0,0.0,0.0,IV,2,0,0,1,4,0.0,0.0,0.14814814814814814,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Ampicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,PO,0,1,0,0,4,0.0,0.0,0.07407407407407407,0.11851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Ampicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,0,1,0,4,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Ampicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,0,1,0,4,0.2962962962962963,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140929713055281,-2.6373148813851555,-0.4544423439607368,0.08347851022041938,-0.9546958617930822,2.5280273147405126,-0.21161086047820044,0.22560337934673835
Ampicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,4,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Ampicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,4,0.2962962962962963,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140929713055281,-2.6373148813851555,-0.4544423439607368,0.08347851022041938,-0.9546958617930822,2.5280273147405126,-0.21161086047820044,0.22560337934673835
Ampicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,0,1,0,0,4,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Artesunate,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,PO,0,1,0,0,5,0.0,0.0,0.007407407407407408,0.011851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Artesunate,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,IV,2,0,0,1,5,0.0,0.0,0.007407407407407408,0.011851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Azithromycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,0.0,0.0,IV,2,0,0,1,6,0.0,0.0,0.018518518518518517,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Azithromycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,0.0,0.0,PO,0,1,0,0,6,0.0,0.0,0.018518518518518517,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
